"University","City","State","School","BusinessSchool","EngSchool","ScienceSchool","Degree","Analytics","DataScience","YearBegan","DurationMonths","MinDuration","AvgDuration","MaxDuration","CreditHrs","InstateCost","OutofstateCost","AvgCost","StudentAge","StudentGPA","StudentWorkExpMonths","Pctwomen","PctInternational","AvgTOEFL","AppFeeCost.","PlacementRate","AvgStartingSalary","NumDSCources","NumBenefits","NumAppFeatures","NumProgramTypes","NumPostGradStatListed","Rigour"
"Mercer University","Atlanta","Geogria","Business and Economics",1,0,0,"Business Analytics",1,0,2015,15,15,15,16,39,34515,34515,28353,32,3.32,NA,NA,NA,80,50,NA,NA,3,1,3,1,0,2.6
"Loyola University- Maryland","Baltimore","Maryland","Business",1,0,0,"Data Science",0,1,2015,24,12,24,36,31,31000,31000,31000,23,3.52,NA,NA,NA,80,60,NA,NA,8,6,2,2,0,1.29166666666667
"Massachusetts Institute of Technology","Cambridge","Massachusetts","Management",1,0,0,"Business Analytics",1,0,2016,12,12,12,12,NA,82368,82368,82368,23,3.9,15,0.4,0.7,100,150,NA,NA,7,5,8,3,2,NA
"Merrimack College","North Andover","Massachusetts","Business",1,0,0,"Business Analytics",1,0,2014,12,12,NA,16,32,30464,30464,30464,26,3,NA,NA,NA,100,0,NA,NA,5,6,4,1,NA,2.66666666666667
"Michigan Technological University","Houghton","Michigan","Graduate School",0,0,0,"Data Science",0,1,2015,NA,NA,NA,NA,30,45452,45452,45452,25,NA,NA,NA,NA,80,NA,NA,NA,8,0,6,1,0,NA
"New Jersey City University",NA,"New Jersey","Business",1,0,0,"Business Analytics and Data Science",1,1,2016,16,16,NA,24,33,22737,40053,40053,23,3.6,NA,NA,NA,90,55,NA,NA,3,1,7,2,0,2.0625
"Mercyhurst University","Erie","Pennsylvania","Intelligence Studies and Applied Sciences",0,0,0,"Data Science",0,1,2015,21,21,21,21,36,37000,37000,31500,24,3.2,NA,NA,NA,90,0,NA,NA,4,1,2,1,0,1.71428571428571
"Regis University","Denver","Colorado","Computer and Information Sciences",0,0,1,"Data Science",0,1,2015,NA,NA,NA,NA,36,34200,34200,34200,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2,3,0,NA
"Quinnipiac University","Hamden","Connecticut","Business",1,0,0,"Analytics",1,0,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,6,NA,4,1,0,NA
"Embry-Riddle Aeronautical University","Daytona Beach","Florida","Arts and Sciences",0,0,1,"Data Science",0,1,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,4,NA,NA
"Rowan University","Glassboro","New Jersey","Science & Mathematics",0,0,1,"Data Analytics",1,0,2016,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,NA
"Rutgers","New Brunswick","New Jersey","Science",0,0,1,"Business & Science",0,0,2012,18,18,NA,48,43,43645,54008,48826.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,6,4,0,2.38888888888889
"Drew University","Madison","New Jersey","Graduate School",0,0,0,"Data Analytics",1,0,2019,36,12,NA,36,30,NA,NA,NA,NA,3,NA,NA,NA,NA,35,NA,69162,5,1,2,3,NA,0.833333333333333
"Rensselaer Polytechnic Institute","Troy","New York","Business",1,0,0,"Business Analytics",1,0,2013,24,24,24,24,36,34900,34900,34900,24,3.5,NA,0.56,0.8,NA,NA,NA,73856,5,NA,3,1,1,1.5
"Penn State Great Valley","Devault","Pennsylvania","Graduate Professional Studies",0,0,0,"Data Analytics",1,0,2015,36,36,36,36,30,27900,27900,27900,NA,3.2,NA,NA,NA,NA,65,NA,NA,7,NA,6,1,0,0.833333333333333
