"University","City","State","School","BusinessSchool","EngSchool","ScienceSchool","Degree","Analytics","DataScience","YearBegan","DurationMonths","MinDuration","AvgDuration","MaxDuration","CreditHrs","InstateCost","OutofstateCost","AvgCost","StudentAge","StudentGPA","StudentWorkExpMonths","Pctwomen","PctInternational","AvgTOEFL","AppFeeCost.","PlacementRate","AvgStartingSalary","NumDSCources","NumBenefits","NumAppFeatures","NumProgramTypes","NumPostGradStatListed","Rigour"
"Saint Marys College","Notre Dame","Indiana","Liberal and Professional studies",0,0,0,"Data Science",1,0,NA,24,NA,NA,NA,36,24300,24300,24300,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,4,3,NA,1.5
"Bentley University","Waltham","Massachusetts","Business",1,0,0,"Business Analytics",1,0,2014,24,24,24,24,30,67250,67250,67250,23,NA,10,0.57,NA,105,90,0.95,83404,6,4,4,3,1,1.25
"Suffolk University Boston","Boston","Massachusetts","Business",1,0,0,"Business Analytics",1,0,NA,9,9,NA,21,31,47220,47220,47220,NA,NA,NA,NA,NA,NA,50,NA,NA,9,4,4,3,NA,3.44444444444444
"University of Rochester","Rochester","New York","Business",1,0,0,"Business Analytics",1,0,2014,10,10,14,17,33,65000,65000,65000,23,3.3,12,0.62,NA,106,NA,0.84,68000,12,6,5,1,1,3.3
"Syracuse University","Syracuse","New York","School of Information Studies",0,0,1,"Applied Data Science",0,1,NA,24,NA,NA,NA,36,35343,35343,35343,NA,NA,NA,NA,NA,NA,75,NA,81753,NA,1,5,3,NA,1.5
"Wake Forest University","Winston-Salem","North Carolina","School of Business",1,0,0,"Business Analytics",1,0,2016,10,10,10,10,37,50082,50082,50082,NA,3.43,NA,0.5,NA,NA,100,1,71055,9,6,6,2,1,3.7
"University of Southern California, Marshall","Los Angeles","California","Business",1,0,0,"Business Analytics",1,0,2014,18,12,18,18,33,60951,70000,70000,NA,3.67,18,0.54,0.74,NA,NA,NA,NA,6,2,5,2,2,1.83333333333333
"University of Colorado Boulder","Boulder","Colorado","Business",1,0,0,"Business Analytics",1,0,2014,10,10,10,10,33,13556,33014,23285,NA,NA,NA,NA,NA,NA,70,1,NA,5,NA,6,3,0,3.3
"University of New Haven","West Haven","Connecticut","Engineering",0,1,0,"Data Science",0,1,2015,12,12,NA,NA,30,28950,28950,28950,NA,NA,NA,NA,NA,NA,NA,1,80000,3,3,7,1,1,2.5
"Bay Path University","Longmeadow","Massachusetts","Business",1,0,0,"Applied Data Science",0,1,2012,12,12,NA,24,36,31680,31680,31680,NA,3,NA,NA,NA,NA,NA,NA,NA,11,3,3,3,0,3
"Clark University","Worcester","Massachusetts","School of Management",1,0,0,"Business Analytics",1,0,NA,36,NA,NA,36,NA,57475,57475,57475,NA,NA,NA,NA,NA,NA,75,NA,NA,6,3,4,1,0,NA
"University of Minnesota","Twin Cities","Minnesota","School of Management",1,0,0,"Business Analytics",1,0,2014,12,12,12,24,45,45900,45900,60300,24,3.54,NA,NA,NA,NA,75,1,82433,9,3,7,1,2,3.75
"Carnegie Mellon University","Pittsburgh","Pennsylvania","Business",1,0,0,"Master of Information Systems Management (concentration in Business intelligence and Data Analytics)",0,0,2011,16,12,16,16,NA,115207,115207,115207,NA,3.55,NA,NA,NA,NA,NA,NA,NA,10,6,5,3,0,NA
"Brown University","Providence","Rhode Island","Graduate School",0,0,0,"Data Science",0,1,NA,12,9,NA,24,9,69204,69204,69204,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,5,1,2,0.75
"University of Tennessee","Knoxville","Tennessee","Business",1,0,0,"Business Analytics",1,0,2010,18,18,18,24,38,26391,54018,22293,NA,3.56,31,0.25,0.19,NA,60,1,85200,9,5,6,1,0,2.11111111111111
"University of Virginia","Charlottesville","Virginia","Data Science Institute",0,0,0,"Data Science",0,1,2014,11,11,11,11,35,35264,49976,35500,NA,3,0,0.46,NA,90,85,NA,NA,10,5,6,1,2,3.18181818181818
"Western Illinois University","Macomb","Illinois","College of Business & Technology",1,0,0,"Applied Statistics and Decision Analytics",1,0,2016,12,12,12,18,36,11651.04,11651.04,11651.04,23,2.75,0,0.42,NA,NA,NA,NA,50000,9,5,2,1,1,3
"Valparaiso University","Valparasio","Indiana","Graduate School",0,0,0,"Analytics and Modeling",1,0,2015,12,12,12,12,36,22680,22680,22680,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,6,1,0,3
"Wayne State University","Detriot","Michigan","Engineering",0,1,0,"Data Science and Business Analytics",1,1,2017,12,12,24,24,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,2,0,2.5
"Drew University","Madison","New Jersey","Graduate School",0,0,0,"Data Analytics",1,0,2016,12,12,12,24,36,15276,15276,15276,NA,NA,NA,NA,NA,NA,NA,NA,105000,1,1,3,4,NA,3
"Duquesne University","Pittsburgh","Pennsylvania","Business",1,0,0,"Analytics and Information Management",1,0,2018,12,12,12,24,30,16032,16032,16032,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,2,NA,2.5
"College of Charleston","Charleston","South Carolina","Graduate School",0,0,0,"Data Science and Analytics",1,1,2018,13,13,13,13,36,7715,18296,13005.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,2.76923076923077
"Utah State University","Logan","Utah","Science",0,0,1,"Data Analytics",1,0,2017,12,12,12,12,33,20215,25064,22639.5,NA,NA,NA,NA,NA,NA,NA,NA,80265,7,1,5,1,0,2.75
"Virginia Commonwealth University","Richmond","Virginia","School of Business",1,0,0,"Decision Analytics",1,0,2014,20,20,20,20,33,43000,43000,43000,NA,NA,36,NA,NA,NA,NA,NA,NA,3,1,5,2,0,1.65
"Virginia Tech","Blacksburg","Virginia","Business",1,0,0,"Business Analytics",1,0,2015,9,9,9,9,30,24243,41987,33115,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,7,1,0,3.33333333333333
"West Virginia University","Morgantown","West Virginia","College of Business and Economics",1,0,0,"Business Data Analytics",1,0,2016,12,12,12,12,30,8937,8937,8937,23,3,12,0.45,NA,580,NA,NA,NA,11,4,4,2,0,2.5
"Northwestern University","Evanston","Illinois","Professional Studies",0,0,0,"Data Science",0,1,2011,15,15,15,15,NA,52140,52140,52140,NA,NA,NA,NA,NA,NA,75,NA,NA,9,NA,5,3,0,NA
"Northeastern University","Boston","Massachusetts","Business",1,0,0,"Business Analytics",1,0,2015,16,12,16,20,NA,NA,NA,NA,NA,3.24,75.6,0.59,NA,NA,NA,NA,NA,4,3,5,3,1,NA
"Northeastern University","Boston","Massachusetts","Professional Studies",0,0,0,"Analytics",1,0,2016,24,24,24,24,30,40600,40600,40600,NA,NA,NA,NA,NA,NA,75,NA,NA,7,3,5,3,0,1.25
"Northeastern University","Boston","Massachusetts","Computer and Information Science",0,0,1,"Data Science",0,1,2016,24,24,24,36,32,53300,53300,53300,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,8,2,0,1.33333333333333
"New York University",NA,"New York","Science",0,0,1,"Business Analytics",1,0,2013,12,12,12,12,NA,79000,79000,79000,NA,NA,60,NA,NA,NA,103,NA,NA,14,3,4,1,0,NA
"New York University",NA,"New York","Science",0,0,1,"Data Science",0,1,2013,24,24,24,24,36,NA,NA,NA,NA,3.69,NA,NA,NA,NA,80,NA,NA,5,3,7,2,2,1.5
"Oregon State University",NA,"Oregon","Electrical engineering",0,1,0,"Data Analytics",1,0,2016,24,24,24,24,45,19008,19008,19008,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,6,3,0,1.875
"Georgia State","Atlanta","Geogria","Business",1,0,0,"Data Science and Analytics",1,1,2014,12,12,16,24,30,39000,45000,42000,27,3.45,45.6,0.44,0.72,NA,50,NA,73533,12,6,4,2,2,2.5
"University of Maryland","College Park","Maryland","University College",0,0,0,"Data Science and Analytics",1,1,2013,NA,NA,NA,45,36,38000,38000,38000,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,2,2,0,NA
"Babson College","Wellesley","Massachusetts","Business",1,0,0,"Business Analytics",1,0,NA,9,9,13,16,30,NA,NA,84081,NA,3.12,8,0.64,0.4,NA,100,NA,NA,6,6,5,2,NA,3.33333333333333
"Unversity of St Thomas Minnesota","St Paul","Minnesota","Business",1,0,0,"Business Analytics",1,0,NA,16,16,NA,50,30,NA,NA,36540,27,3.1,3,0.62,NA,90,60,NA,NA,9,5,5,3,NA,1.875
"University of Montana","Missoula","Montana","Business",1,0,0,"Business Analytics",1,0,NA,12,NA,NA,NA,32,6610,21958,14284,NA,NA,NA,0.56,NA,NA,80,NA,NA,6,4,6,3,NA,2.66666666666667
"Columbia University","New York City","New York","Institute for Data Science and Engineering",0,1,0,"Data Science",0,1,2015,12,12,12,12,30,63120,63120,63120,NA,NA,NA,NA,NA,NA,85,1,NA,4,NA,7,3,0,2.5
"Wittenberg University","Springfield","Ohio","School of Community Education",0,0,0,"Analytics",1,0,2016,12,12,12,12,33,38680,38680,38680,24,3,0,0.48,NA,NA,NA,NA,60000,10,3,5,2,2,2.75
"Drexel University","Philadelphia","Pennsylvania","Business",1,0,0,"Business Analytics",1,0,2012,18,18,18,24,45,51255,51255,51255,NA,NA,NA,NA,NA,NA,NA,NA,81911,4,1,7,2,0,2.5
"Texas A&M University","College Station","Texas","Science",0,0,1,"Analytics",1,0,2013,20,20,20,20,36,65000,65000,65000,35,3.52,147,0.22,NA,NA,NA,NA,NA,11,3,6,2,0,1.8
"Texas Tech University","Lubbock","Texas","Business",1,0,0,"Data Science",0,1,2015,12,12,12,12,36,20000,30000,22000,27,NA,24,NA,NA,NA,NA,1,NA,6,4,6,2,1,3
"University of Denver","Denver","Colorado","Daniels College of Business",1,0,0,"Business Information and Analytics",1,0,2014,12,12,NA,24,58,61944,61944,61944,28,3.33,48,0.57,0.33,94,100,NA,NA,8,5,3,2,2,4.83333333333333
"University of Denver","Denver","Colorado","Engineering",0,1,0,"Analytics",1,0,2015,18,18,18,24,30,24000,40950,40950,24,NA,NA,NA,NA,NA,NA,0.91,NA,10,6,4,2,0,1.66666666666667
"University of Connecticut","Srorrs","Connecticut","Business",1,0,0,"Business Analytics",1,0,2012,12,12,12,12,37,38850,38850,38850,25,3.4,24,0.49,NA,98,75,0.92,82600,9,5,3,3,1,3.08333333333333
"George Washington University","Washington","District of Columbia","Business",1,0,0,"Business Analytics",1,0,2013,16,12,16,24,33,60225,60225,60225,NA,NA,NA,NA,NA,NA,NA,0.91,NA,8,4,7,2,2,2.0625
"Johns Hopkins University","Baltimore","Maryland","Arts and Science",0,0,1,"Government Analytics",1,0,2014,16,16,16,24,36,50808,50808,50808,NA,NA,NA,NA,NA,NA,75,0.9,NA,10,2,5,3,0,2.25
"Merrimack College","North Andover","Massachusetts","Science and Engineering",0,1,1,"Data Science",0,1,NA,12,7,NA,16,32,NA,NA,31080,NA,NA,NA,NA,NA,NA,0,NA,NA,5,3,3,3,0,2.66666666666667
"Maryville University","St. Louis","Missouri","Business",1,0,0,"Business Data Analytics",1,0,2017,12,12,NA,NA,30,NA,NA,22950,NA,NA,NA,NA,NA,NA,0,NA,NA,6,2,2,3,0,2.5
"Hofstra University","Hempstead","New York","Business",1,0,0,"Business Analytics",1,0,NA,12,NA,NA,NA,30,NA,NA,44610,NA,NA,NA,NA,NA,NA,75,1,NA,9,4,4,2,2,2.5
"North Carolina State University","Raleigh","North Carolina","Business",1,0,0,"Analytics",1,0,2007,10,10,10,10,30,24352,47132,35500,25,3.66,NA,0.37,0.1,NA,NA,NA,NA,15,1,6,1,2,3
"Oklahoma State University","Stillwater","Oklahoma","Management",1,0,0,"Business Analytics",1,0,2015,24,24,24,24,37,16150,40050,28100,NA,NA,NA,NA,NA,89,NA,0.9,81300,15,3,6,2,1,1.54166666666667
"University of Alabama in Huntsville","Huntsville","Alabama","College of Business",1,0,0,"Management Science – Business Analytics",1,0,2016,12,12,18,24,30,12072,27008,19540,23,3,0,NA,NA,NA,NA,NA,NA,9,4,5,2,0,2.5
"University of California at Berkely","Berkeley","California","School of information",0,0,0,"Data Science",0,1,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,110000,NA,NA,5,2,0,NA
"University of California, Irvine","Irvine","California","Business",1,0,0,"Predictive Analytics",1,0,2015,24,NA,24,NA,30,46200,46200,46200,25,NA,NA,NA,NA,NA,NA,NA,NA,10,6,5,1,0,1.25
"San Diego State University","San Diego","California","Human Dynamics",0,0,0,"Big Data Analytics",1,1,NA,24,NA,NA,NA,30,17844,32100,24972,NA,NA,NA,NA,NA,NA,70,NA,NA,7,NA,5,NA,NA,1.25
"University of Colorado Denver","Denver","Colorado","Business",1,0,0,"Analytics",1,0,2014,24,NA,24,NA,30,17130,39450,39450,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,6,2,0,1.25
"American University","Washington","District of Columbia","Business",1,0,0,"Analytics",1,0,2015,24,12,24,24,33,59796,59796,59796,NA,NA,NA,0.5,0.25,NA,100,0.94,60000,8,3,6,3,0,1.375
"Florida International University","Mami","Florida","Science",0,0,1,"Data Science",0,1,NA,NA,NA,NA,NA,NA,14447,30828,22637.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,7,1,NA,NA
"Emory University","Atlanta","Geogria","Business",1,0,0,"Business Analytics",1,0,NA,10,NA,NA,NA,33,NA,NA,75651,27,3.55,36,0.41,0.75,NA,150,0.96,NA,1,2,6,1,2,3.3
"Purdue University","West Lafayette","Indiana","Business",1,0,0,"Business Analytics & Information Management",1,0,2016,11,11,11,11,36,24300,34200,29250,25,3.62,33,0.45,NA,NA,75,1,81320,13,3,7,1,2,3.27272727272727
"University of Notre Dame","Norte Dame","Indiana","Business",1,0,0,"Business Analytics",1,0,2015,10,10,10,10,30,53510,53510,53510,23,3.6,NA,0.45,0.7,NA,NA,0.93,84305,9,6,6,1,0,3
"Stevens Institute of Technology","Hoboken","New Jersey","Business",1,0,0,"Business Intelligence and Analytics",1,0,2012,15,15,15,NA,36,37414,37414,37414,NA,NA,NA,NA,NA,NA,NA,0.92,87500,8,4,6,3,0,2.4
"Seton Hall University","South Orange","New Jersey","Arts and Sciences",0,0,1,"Data Science",0,1,2019,16,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108000,5,NA,6,2,NA,1.875
"Stockton University","Galloway","New Jersy","Business",1,0,0,"Data Science and Strategic Analytics",1,1,2017,12,12,NA,20,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,5,5,2,0,2.5
"Pace University","Plesantville","New York","Business",1,0,0,"Customer Intelligence and Analytics",1,0,2013,24,24,24,24,36,48384,NA,48384,NA,NA,NA,NA,NA,NA,70,NA,NA,3,1,7,1,0,1.5
"Syracuse University","Syracuse","New York","Business",1,0,0,"Business Analytics",1,0,2015,24,18,24,24,39,60801,60801,60801,36,NA,12,0.33,0.31,NA,NA,NA,NA,10,6,5,2,0,1.625
"University of Cincinnati","Cincinnati","Ohio","Business",1,0,0,"Business Analytics",1,0,2011,12,9,12,12,33,10479,21922,12438,26,3.53,NA,0.35,0.84,106,NA,0.96,NA,5,4,5,2,0,2.75
"Ohio University","Athens","Ohio","Business",1,0,0,"Business Analytics",1,0,NA,20,16,18,20,30,35250,35820,35535,NA,NA,NA,NA,NA,NA,50,NA,120931,7,1,4,2,NA,1.5
"Southern Methodist University","Dallas","Texas","Business",1,0,0,"Business Analytics",1,0,2014,9,9,9,17,33,77360,77360,77360,NA,NA,NA,NA,NA,NA,NA,0.95,NA,8,NA,3,2,0,3.66666666666667
"University of Dallas","Dallas","Texas","Business",1,0,0,"Business Analytics",1,0,2015,12,12,NA,36,30,37500,37500,37500,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,3,4,0,2.5
"University of Notre Dame","South Bend","Indiana","Business",1,0,0,"Data Analytics",1,0,2015,12,12,12,12,30,61405,61405,61405,30,NA,24,NA,NA,NA,NA,NA,NA,7,5,6,1,0,2.5
"Worcester Polytechnic","Worcester","Massachusetts","Business",1,0,0,"Data Science",0,1,2014,NA,NA,NA,NA,33,28980,28980,28980,NA,3,36,NA,NA,NA,70,NA,NA,9,3,7,2,0,NA
"Boston University","Boston","Massachusetts","Business",1,0,0,"Business Analytics",1,0,NA,24,24,24,24,45,102527,102527,102527,24,3.58,NA,0.55,NA,101,125,NA,NA,3,3,6,1,NA,1.875
