Rank,PredRank,University,City,State,School,BusinessSchool,EngSchool,ScienceSchool,Degree,Analytics,DataScience,YearBegan,DurationMonths,MinDuration,AvgDuration,MaxDuration,CreditHrs,InstateCost,OutofstateCost,AvgCost,StudentAge,StudentGPA,StudentWorkExpMonths,Pctwomen,PctInternational,AvgTOEFL,AppFeeCost.,PlacementRate,AvgStartingSalary,NumDSCources,NumBenefits,NumAppFeatures,NumProgramTypes,NumPostGradStatListed,Rigour
16,4.986967029,Harvard University,Cambridge,Massachusetts,School of Public Health,0,0,0,Health Data Science,0,1,2017,16,16,16,16,60,73800,73800,73800,20,3.5,3,NA,NA,NA,NA,NA,NA,9,6,7,2,1,3.75
17,5.027744391,"University of Massachusets, Boston",Boston,Massachusetts,Business,1,0,0,Business Analytics,1,0,2015,10,NA,10,NA,31,60760,60760,60760,23,NA,NA,NA,NA,NA,NA,NA,NA,10,6,4,1,0,3.1
18,5.281258396,University of North Texas,Denton,Texas,Information Science,0,0,1,Data Science,0,1,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,4,1,6,NA,NA,NA
19,5.455408262,University of Denver,Denver,Colorado,Engineering,0,1,0,Analytics,1,0,2015,18,18,18,24,30,24000,40950,40950,24,NA,NA,NA,NA,NA,NA,0.91,NA,10,6,4,2,0,1.666666667
20,5.460512114,University of North Carolina at Charlotte,Charlotte,North Carolina,Computing and Informatics,0,0,0,Data Science and Business Analytics,1,1,2015,15,15,18,24,33,7295,13976,10635.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4,7,3,0,2.2
21,5.564138165,Loyola University- Maryland,Baltimore,Maryland,Business,1,0,0,Data Science,0,1,2015,24,12,24,36,31,31000,31000,31000,23,3.52,NA,NA,NA,80,60,NA,NA,8,6,2,2,0,1.291666667
22,5.656432383,Harvard University,Cambridge,Massachusetts,Engineering,0,1,1,Data Science,0,1,2018,15,15,15,15,36,73800,73800,73800,20,3.4,6,NA,NA,NA,NA,NA,NA,1,5,7,1,0,2.4
23,5.714024132,Columbia University,New York City,New York,Institute for Data Science and Engineering,0,1,0,Data Science,0,1,2015,12,12,12,12,30,63120,63120,63120,NA,NA,NA,NA,NA,NA,85,1,NA,4,NA,7,3,0,2.5
24,5.725515987,Carnegie Mellon University,Pittsburgh,Pennsylvania,Business,1,0,0,Master of Information Systems Management (concentration in Business intelligence and Data Analytics),0,0,2011,16,12,16,16,NA,115207,115207,115207,NA,3.55,NA,NA,NA,NA,NA,NA,NA,10,6,5,3,0,NA
25,6.22031473,University at Albany,Albany,New York,Mathematics & Statistics,0,0,1,Data Science,0,1,2018,NA,NA,NA,NA,36,5655,11550,8602.5,NA,NA,NA,NA,NA,NA,0,NA,NA,8,1,1,1,1,NA
26,6.429412143,Duke University,Durham,North Carolina,School of Business,1,0,0,Quantitative Management,1,0,1920,10,10,10,10,36,69800,69800,69800,23,4.03,6,0.56,0.22,NA,125,NA,80000,10,6,6,2,0,3.6
27,6.519333673,Johns Hopkins University,Baltimore,Maryland,Arts and Science,0,0,1,Government Analytics,1,0,2014,16,16,16,24,36,50808,50808,50808,NA,NA,NA,NA,NA,NA,75,0.9,NA,10,2,5,3,0,2.25
28,6.698202497,Temple University,Philadelphia,Pennsylvania,Business,1,0,0,Business Analytics,1,0,2014,24,12,24,60,30,33420,33420,33420,NA,NA,NA,NA,NA,NA,60,0.86,88000,3,6,3,2,0,1.25
29,6.727806947,Oklahoma State University,Stillwater,Oklahoma,Management,1,0,0,Business Analytics,1,0,2015,24,24,24,24,37,16150,40050,28100,NA,NA,NA,NA,NA,89,NA,0.9,81300,15,3,6,2,1,1.541666667
30,6.836884509,Golden Gate University,San Fransico,California,School Of Science,0,0,1,Business Analytics,1,0,2016,24,20,18,24,36,39240,39240,39240,24,2.8,0,0.3,NA,NA,NA,NA,NA,7,4,NA,4,0,1.5
31,7.050753214,Northwestern University,Evanston,Illinois,Professional Studies,0,0,0,Data Science,0,1,2011,15,15,15,15,NA,52140,52140,52140,NA,NA,NA,NA,NA,NA,75,NA,NA,9,NA,5,3,0,NA
32,7.142812416,Fordham University,Bronx,New York,Business,1,0,0,Business Analytics,1,0,2012,12,12,12,24,30,44130,44130,49645,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,2,1,2.5
33,7.263328199,College of William & Mary,Williamsburg,Virginia,Business,1,0,0,Business Analytics,1,0,2015,12,12,12,12,33,40106,46878,43492,24,3.49,NA,0.375,NA,NA,100,NA,NA,9,0,7,2,0,2.75
34,7.31806327,City University of New York,New York City,New York,Professional Studies,0,0,0,Data Analytics,1,0,2013,12,12,12,24,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,6,2,0,2.5
35,7.361294439,Northwestern University,Chicago,Illinois,Engineering,0,1,0,Analytics,1,0,2012,15,15,15,15,36,93720,93720,93720,NA,NA,24,0.48,NA,95,NA,NA,NA,7,5,7,1,1,2.4
36,7.517615954,"University of Wisconsin, Extension",Madison,Wisconsin,Extension,0,0,0,Data Science,0,1,2015,12,12,NA,NA,36,27900,27900,27900,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,5,4,3,0,3
37,7.619979209,Elmhurst College,Elmhurst,Illinois,Technology,0,0,0,Data Science,0,1,2014,24,24,24,24,30,26550,26550,26550,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,6,2,2,1.25
38,7.8151099,Saint Marys College,Notre Dame,Indiana,Liberal and Professional studies,0,0,0,Data Science,1,0,NA,24,NA,NA,NA,36,24300,24300,24300,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,4,3,NA,1.5
39,7.820598757,Brown University,Providence,Rhode Island,Graduate School,0,0,0,Data Science,0,1,NA,12,9,NA,24,9,69204,69204,69204,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,5,1,2,0.75
40,8.046587615,University of Tulsa,Tulsa,Oklahoma,Collins College of Business,1,0,0,Master of Science in Business Analytics,1,0,NA,16,16,NA,NA,30,39300,39300,39300,NA,NA,NA,NA,NA,NA,55,NA,NA,9,4,6,2,0,1.875
41,8.073710099,Merrimack College,North Andover,Massachusetts,Science and Engineering,0,1,1,Data Science,0,1,NA,12,7,NA,16,32,NA,NA,31080,NA,NA,NA,NA,NA,NA,0,NA,NA,5,3,3,3,0,2.666666667
42,8.082657336,University of Minnesota,Mnneapolis,Minnesota,Science and Engineering,0,1,0,Data Science,0,1,2015,16,16,NA,24,31,33456,51768,42612,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,7,4,0,1.9375
43,8.423675087,Oregon State University,NA,Oregon,Electrical engineering,0,1,0,Data Analytics,1,0,2016,24,24,24,24,45,19008,19008,19008,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,6,3,0,1.875
44,8.474407855,Georgetown University,Washington,District of Columbia,Arts and Science,0,0,1,Analytics,1,0,2015,16,12,16,36,30,66420,66420,66420,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,7,2,2,1.875
45,8.647989158,University of Kansas Edwards Campus,Kansas,Kansas,Medical Center,0,0,0,Applied Statistics and Analytics,1,0,2015,12,12,12,12,30,20010,20010,20010,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,3,0,2.5
46,8.672806742,University of Iowa,Iowa,Iowa,Business,1,0,0,Business Analytics,1,0,2015,16,16,NA,NA,45,30813.75,49713.75,40263.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,6,2,0,2.8125
47,8.698761527,University of Rochester,Rochester,New York,Arts and Sciences,0,0,1,Data Science,0,1,2015,9,9,9,9,30,47880,47880,47880,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,7,1,0,3.333333333
48,8.786977679,Duquesne University,Pittsburgh,Pennsylvania,Business,1,0,0,Analytics and Information Management,1,0,NA,36,12,NA,36,30,29730,29730,29730,NA,NA,NA,NA,NA,NA,50,NA,NA,3,1,4,4,NA,0.833333333
49,8.843539978,University of Notre Dame,Norte Dame,Indiana,Business,1,0,0,Business Analytics,1,0,2015,10,10,10,10,30,53510,53510,53510,23,3.6,NA,0.45,0.7,NA,NA,0.93,84305,9,6,6,1,0,3
50,9.028505944,University of Notre Dame,NA,Indiana,Science,0,0,1,Data Science,0,1,NA,21,21,21,21,30,52000,52000,52000,NA,NA,NA,NA,NA,NA,75,1,NA,7,NA,5,2,NA,1.428571429
51,9.050788969,New Mexico State University,Las Cruces,New Mexico,Arts and Sciences,0,0,1,Computational Data Analytics,1,0,2019,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,4,0,NA
52,9.076247775,Worcester Polytechnic,Worcester,Massachusetts,Business,1,0,0,Data Science,0,1,2014,NA,NA,NA,NA,33,28980,28980,28980,NA,3,36,NA,NA,NA,70,NA,NA,9,3,7,2,0,NA
53,9.113531854,University of Missouri,Columbia,Missouri,Informatics Institute,0,0,0,Data and Analytics,1,0,2016,24,24,24,24,34,17000,17000,17000,23,3,0,NA,NA,80,NA,NA,NA,9,2,4,1,0,1.416666667
54,9.139856423,Massachusetts Institute of Technology,Cambridge,Massachusetts,Management,1,0,0,Business Analytics,1,0,2016,12,12,12,12,NA,82368,82368,82368,23,3.9,15,0.4,0.7,100,150,NA,NA,7,5,8,3,2,NA
55,9.185875048,Franklin University,Columbus,Ohio,Graduate School,0,0,0,Data Analytics,1,0,NA,19,19,NA,NA,33,NA,NA,22110,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,3,1,1.736842105
56,9.524720355,Florida International University,Mami,Florida,Science,0,0,1,Data Science,0,1,NA,NA,NA,NA,NA,NA,14447,30828,22637.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,7,1,NA,NA
57,9.672242122,Clemson University,Clemson,South Carolina,Business and Science,1,0,1,Data Science and Analytics,1,1,NA,18,18,24,30,30,51000,51000,51000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,1.666666667
58,9.735881262,"University of Maryland, College Park",College Park,Maryland,Business,1,0,0,Business Analytics,1,0,2015,16,16,16,16,30,47460,60450,53955,23,3.4,12,0.52,NA,NA,75,0.87,86000,10,6,6,2,2,1.875
59,9.746565628,Michigan State University,East Lansing,Michigan,Business,1,0,0,Business Analytics,1,0,2013,12,12,12,12,30,36000,39000,37500,26,3.45,NA,NA,NA,NA,NA,1,85200,8,6,6,1,0,2.5
60,9.980988044,University of Pennsylvania,Philadelphia,Pennsylvania,Engineering,0,1,0,Data Science,0,1,NA,21,18,21,24,30,75940,75940,75940,NA,NA,NA,NA,NA,NA,80,NA,NA,9,0,5,1,NA,1.428571429
61,10.02187509,Regis University,Denver,Colorado,Computer and Information Sciences,0,0,1,Data Science,0,1,2015,NA,NA,NA,NA,36,34200,34200,34200,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2,3,0,NA
62,10.29002038,Southern Methodist University,Dallas,Texas,Humanities & Sciences,0,0,1,Applied Statistics and Data Analytics,1,0,2013,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,0,NA
63,10.30890496,"University of North Carolina, Wilmington",Wilmington,North Carolina,Business,1,0,0,Data Science,0,1,2016,16,16,16,16,36,4041.65,10511.91,7276.78,25,NA,NA,NA,NA,NA,NA,NA,NA,10,6,4,1,0,2.25
64,10.41167413,University of Texas at Austin,Austin,Texas,Business,1,0,0,Business Analytics,1,0,2013,10,10,10,10,36,43000,48000,45500,24,3.66,12,0.43,0.52,NA,NA,0.98,86175,4,6,7,1,2,3.6
65,10.42232006,Penn State Great Valley,Devault,Pennsylvania,Graduate Professional Studies,0,0,0,Data Analytics,1,0,2015,36,36,36,36,30,27900,27900,27900,NA,3.2,NA,NA,NA,NA,65,NA,NA,7,NA,6,1,0,0.833333333
66,10.42450944,University of Chicago,Chicago,Illinois,Liberal and Professional studies,0,0,0,Analytics,1,0,2014,18,18,18,18,36,55680,55680,55680,NA,NA,NA,NA,NA,NA,75,NA,NA,7,NA,8,2,2,2
67,10.56730436,University of New Haven,West Haven,Connecticut,Engineering,0,1,0,Data Science,0,1,2015,12,12,NA,NA,30,28950,28950,28950,NA,NA,NA,NA,NA,NA,NA,1,80000,3,3,7,1,1,2.5
68,10.60284593,Drew University,Madison,New Jersey,Graduate School,0,0,0,Data Analytics,1,0,2016,12,12,12,24,36,15276,15276,15276,NA,NA,NA,NA,NA,NA,NA,NA,105000,1,1,3,4,NA,3
69,10.69430795,University of the Pacific,Stockton,California,Engineering and Computer Science,0,1,0,Data Science,0,1,2015,18,18,18,18,32,48352,48352,48352,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,4,1,0,1.777777778
70,10.77316531,North Carolina State University,Raleigh,North Carolina,Business,1,0,0,Analytics,1,0,2007,10,10,10,10,30,24352,47132,35500,25,3.66,NA,0.37,0.1,NA,NA,NA,NA,15,1,6,1,2,3
71,10.7796041,Fairfield University,Fairfield,Connecticut,Business,1,0,0,Business Analytics,1,0,2015,12,12,12,24,30,37800,37800,37800,27,3.8,NA,0.35,NA,NA,60,0.95,NA,5,5,6,3,0,2.5
72,10.80111226,University of Texas at San Antonio,San Antonio,Texas,College of Business,1,0,0,Data Analytics,1,0,2016,12,12,12,21,30,17000,46500,31750,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,4,2,0,2.5
73,10.99291946,Xavier University,Chicago,Illinois,Business,NA,NA,NA,Business,1,1,2014,24,24,24,24,30,40450,40450,31000,20,2.95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1.25
74,11.00638865,University of Washington,Seattle,Washington,Science,0,0,1,Data Science,0,1,2017,12,12,18,24,33,46125,46125,46125,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,2,0,2.75
75,11.01179235,University of Miami,Miami,Florida,Business,1,0,0,Business Analytics,1,0,2014,10,NA,10,NA,31,60760,60760,60760,23,3.5,12,0.54,NA,NA,NA,NA,NA,8,6,4,1,0,3.1
76,11.06557734,College of Charleston,Charleston,South Carolina,Graduate School,0,0,0,Data Science and Analytics,1,1,2018,13,13,13,13,36,7715,18296,13005.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,2.769230769
77,11.30827341,"University of California, San Diego",San Diego,California,Business,1,0,0,Business Analytics,1,0,2016,12,12,12,12,50,58000,58000,58000,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,6,6,2,2,4.166666667
78,11.43158608,Southern New Hampshire University,Manchester,New Hampshire,Science,0,0,1,Data Analytics,1,0,2013,NA,15,NA,NA,36,22572,22572,22572,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,0,NA
79,11.64105237,Purdue University,West Lafayette,Indiana,Business,1,0,0,Business Analytics & Information Management,1,0,2016,11,11,11,11,36,24300,34200,29250,25,3.62,33,0.45,NA,NA,75,1,81320,13,3,7,1,2,3.272727273
80,11.72657202,Saint Josephs University,Philadelphia,Pennsylvania,Business,1,0,0,Business Intelligence and Analytics,1,0,2010,12,12,NA,24,30,33210,NA,33210,NA,NA,12,NA,NA,NA,NA,NA,NA,8,2,6,3,0,2.5
81,11.87653432,Texas A&M University,College Station,Texas,Science,0,0,1,Analytics,1,0,2013,20,20,20,20,36,65000,65000,65000,35,3.52,147,0.22,NA,NA,NA,NA,NA,11,3,6,2,0,1.8
82,11.89276916,Ohio University,Athens,Ohio,Business,1,0,0,Business Analytics,1,0,NA,20,16,18,20,30,35250,35820,35535,NA,NA,NA,NA,NA,NA,50,NA,120931,7,1,4,2,NA,1.5
83,11.89478521,Brandeis University,Waltham,Massachusetts,Professional Studies,0,0,0,Strategic Analytics,1,0,2014,18,18,NA,NA,30,35350,35350,35350,NA,NA,NA,0.4,NA,NA,NA,NA,NA,6,1,NA,2,1,1.666666667
84,12.01672318,Boston University,Boston,Massachusetts,Metropolitan College,0,0,0,Applied Business Analytics,1,0,2016,18,18,22,24,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,2,2,6,4,0,2.222222222
85,12.11692165,University of California Irvine,Irvine,California,Business,1,0,0,Business Analytics,1,0,NA,11,11,11,11,52,55000,55000,55000,25,3.46,35,0.47,0.387,103,150,0.9,NA,10,4,6,1,0,4.727272727
86,12.49007357,DePaul University,Chicago,Illinois,Computing,0,0,0,Data Science,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,1,2,2,NA
87,12.69488111,Drexel University,Philadelphia,Pennsylvania,Business,1,0,0,Business Analytics,1,0,2012,18,18,18,24,45,51255,51255,51255,NA,NA,NA,NA,NA,NA,NA,NA,81911,4,1,7,2,0,2.5
88,13.20431062,Wittenberg University,Springfield,Ohio,School of Community Education,0,0,0,Analytics,1,0,2016,12,12,12,12,33,38680,38680,38680,24,3,0,0.48,NA,NA,NA,NA,60000,10,3,5,2,2,2.75
89,13.46855459,Indiana University,Bloomington,Indiana,Business,1,0,0,Business Analytics,1,0,2014,15,15,15,36,30,25657,52566,25657,19,3.63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2
90,13.49541141,Wayne State University,Detriot,Michigan,Engineering,0,1,0,Data Science and Business Analytics,1,1,2017,12,12,24,24,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,2,0,2.5
91,13.50058876,Bay Path University,Longmeadow,Massachusetts,Business,1,0,0,Applied Data Science,0,1,2012,12,12,NA,24,36,31680,31680,31680,NA,3,NA,NA,NA,NA,NA,NA,NA,11,3,3,3,0,3
92,13.90438382,Fordham University,Bronx,New York,Art and Science,0,0,1,Data Analytics,1,0,2016,12,12,12,24,30,44130,44130,29160,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,7,2,1,2.5
93,13.91597101,Utah State University,Logan,Utah,Science,0,0,1,Data Analytics,1,0,2017,12,12,12,12,33,20215,25064,22639.5,NA,NA,NA,NA,NA,NA,NA,NA,80265,7,1,5,1,0,2.75
94,13.92228962,Hofstra University,Hempstead,New York,Business,1,0,0,Business Analytics,1,0,NA,12,NA,NA,NA,30,NA,NA,44610,NA,NA,NA,NA,NA,NA,75,1,NA,9,4,4,2,2,2.5
95,13.94341597,Charleston Southern University,Charleston,South Carolina,Adult and Professional Studies,0,0,0,Analytics,1,0,NA,12,12,18,24,30,19500,NA,19500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2.5
96,14.00473912,University of Minnesota,Twin Cities,Minnesota,School of Management,1,0,0,Business Analytics,1,0,2014,12,12,12,24,45,45900,45900,60300,24,3.54,NA,NA,NA,NA,75,1,82433,9,3,7,1,2,3.75
