Rank,PredRank,University,City,State,School,BusinessSchool,EngSchool,ScienceSchool,Degree,Analytics,DataScience,YearBegan,DurationMonths,MinDuration,AvgDuration,MaxDuration,CreditHrs,InstateCost,OutofstateCost,AvgCost,StudentAge,StudentGPA,StudentWorkExpMonths,Pctwomen,PctInternational,AvgTOEFL,AppFeeCost.,PlacementRate,AvgStartingSalary,NumDSCources,NumBenefits,NumAppFeatures,NumProgramTypes,NumPostGradStatListed,Rigour
123,16.60713362,Georgia State,Atlanta,Geogria,Business,1,0,0,Data Science and Analytics,1,1,2014,12,12,16,24,30,39000,45000,42000,27,3.45,45.6,0.44,0.72,NA,50,NA,73533,12,6,4,2,2,2.5
124,16.6954096,"California Polytechnic State University, San Luis Obispo",San Luis,California,Business,1,0,0,Business Analytics,1,0,2016,10,10,10,10,45,31275,31275,31275,NA,NA,NA,NA,NA,NA,NA,0.88,79842,NA,5,6,1,NA,4.5
125,16.69931387,"University of California, Irvine",Irvine,California,Business,1,0,0,Predictive Analytics,1,0,2015,24,NA,24,NA,30,46200,46200,46200,25,NA,NA,NA,NA,NA,NA,NA,NA,10,6,5,1,0,1.25
126,16.73312978,Virginia Tech,Blacksburg,Virginia,Business,1,0,0,Business Analytics,1,0,2015,9,9,9,9,30,24243,41987,33115,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,7,1,0,3.333333333
127,16.77462201,San Diego State University,San Diego,California,Human Dynamics,0,0,0,Big Data Analytics,1,1,NA,24,NA,NA,NA,30,17844,32100,24972,NA,NA,NA,NA,NA,NA,70,NA,NA,7,NA,5,NA,NA,1.25
128,16.81536595,University of Oklahoma,Norman,Oklahoma,Engineering,0,1,0,Data Science and Analytics,1,1,2015,14,14,NA,14,33,24000,24000,24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,7,3,0,2.357142857
129,16.88595594,Slippery Rock University,Butler County,Pennsylvania,"Health, Environment and Science",0,0,0,Data Analytics,1,0,2015,10,10,10,24,33,41445,60613,41445,NA,NA,NA,NA,NA,NA,25,NA,NA,3,3,1,3,0,3.3
130,16.90435893,Case Western Reserve University,Cleveland,Ohio,Business,1,0,0,Business Analytics,1,0,2016,11,11,NA,16,33,50096,50096,50096,23,3.5,18,0.56,0.67,NA,NA,NA,NA,6,5,6,1,0,3
131,16.91611915,Arizona State University,Phoenix,Arizona,Business,1,0,0,Business Analytics,1,0,2013,9,9,9,9,30,33608,53288,43448,26,3.42,32,0.46,0.85,99,70,0.769,77601,2,3,4,2,1,3.333333333
132,17.04238439,University of Alabama in Huntsville,Huntsville,Alabama,College of Business,1,0,0,Management Science – Business Analytics,1,0,2016,12,12,18,24,30,12072,27008,19540,23,3,0,NA,NA,NA,NA,NA,NA,9,4,5,2,0,2.5
