"University","City","State","School","Degree","BusinessSchool","EngSchool","ScienceSchool","Analytics","DataScience","YearBegan","DurationMonths","MinDuration","AvgDuration","MaxDuration","CreditHrs","InstateCost","OutofstateCost","AvgCost","StudentAge","StudentGPA","StudentWorkExpMonths","Pctwomen","PctInternational","AvgTOEFL","AppFeeCost.","PlacementRate","AvgStartingSalary","NumDSCources","NumBenefits","NumAppFeatures","NumProgramTypes","NumPostGradStatListed","Rigour"
"University of South Florida","Tampa","Florida","Business","Business Analytics",1,1,1,1,1,2015,15,15,15,15,33,6410,17324,9838,19,3.11,1,0.56,0.7,90,75,1,80000,9,4,6,2,0,2.2
"Illinois Institute of Technology","Chicago","Illinois","Science","Data Science",0,0,1,0,1,2013,24,24,24,24,33,65386,70551,49280,19,3.56,6,0.3,0.4,80,75,1,80000,5,2,4,2,0,1.375
"Xavier University","Chicago","Illinois","Business","Business",0,0,0,1,1,2014,24,24,24,24,30,40450,40450,31000,20,2.95,1,0.375,0.85,90,50,1,62879,5,3,3,3,0,1.25
"Indiana University","Bloomington","Indiana","Business","Business Analytics",1,0,0,1,0,2014,15,15,15,36,30,25657,52566,25657,19,3.63,1,0.45,0.73,89,50,1,60000,3,2,6,3,0,2
"Indiana University","Bloomington","Indiana","Informatics and Computing","Data Science",0,0,1,0,1,2015,24,24,24,60,30,25657,52566,25657,18,2.89,4,0.22,0.73,90,75,1,69162,6,2,6,2,0,1.25
"Iowa State University","Ames","Iowa","Business","Business Analytics",1,0,0,1,0,2015,21,21,21,21,30,9320,24508,15000,21,2.87,2,0.3,0.33,80,60,1,68153,3,1,5,2,0,1.42857142857143
"Harvard University","Cambridge","Massachusetts","School of Public Health","Health Data Science",0,0,0,0,1,2017,16,16,16,16,60,73800,73800,73800,20,3.5,3,0.5,0.4,90,75,1,60000,9,6,7,2,1,3.75
"Harvard University","Cambridge","Massachusetts","Engineering","Data Science",0,1,1,0,1,2018,15,15,15,15,36,73800,73800,73800,20,3.4,6,0.48,0.31,90,100,1,68000,1,5,7,1,0,2.4
"Kent State University","Kent","Ohio","Business and Administration","Business Analytics",1,0,0,1,0,2016,12,12,12,12,30,10602,19478,18000,20,2.54,3,0.56,0.75,90,0,1,88000,4,2,7,1,0,2.5
"University of Dayton","Dayton","Ohio","Business","Business Analytics",1,0,0,1,1,2013,16,15,15,15,33,44100,44100,31000,20,3.02,6,0.48,0.73,80,55,0.92,60000,7,6,6,2,0,2.0625
"Saint Marys College of California","Moraga","California","Economics and Business Administration","Business Analytics",1,0,0,1,0,2015,12,12,12,18,33,46543,46543,49188,35,3.45,24,0.43,0.72,90,50,0.95,120000,8,4,4,2,0,2.5
"Saint Louis University","St. Louis","Missouri","Business","Applied Analytics",1,0,0,1,0,2014,12,12,24,24,36,32835,33420,45424,23,2.95,24,0.59,0.75,95,50,1,50000,1,6,5,1,0,1.5
"Southern New Hampshire University","Manchester","New Hampshire","Science","Data Analytics",0,0,1,1,0,2013,12,15,12,12,36,22572,22572,22572,23,3,6,0.3,0.85,80,0,1,73856,7,1,6,1,0,2.25
"Saint Peters University","Jersey City","New Jersey","Data Science","Data Science",0,0,0,0,1,2014,18,12,18,24,36,22572,31000,31000,23,3,0,0.56,0.74,80,50,1,50000,7,1,4,2,0,2
"New Mexico State University","Las Cruces","New Mexico","Arts and Sciences","Computational Data Analytics",0,0,1,1,0,2019,12,12,24,24,34,4041.65,17324,14284,23,3,0,0.375,0.1,80,70,0.92,50000,8,3,7,4,0,2.5
"Franklin University","Columbus","Ohio","Graduate School","Business Analytics",0,0,0,1,0,2015,15,15,16,24,33,15276,12786,22110,23,3,0,0.45,0.75,80,0,0.92,81753,0,1,1,3,1,2.2
"Franklin University","Columbus","Ohio","Graduate School","Data Analytics",0,0,0,1,0,2015,19,19,24,24,33,10479,8937,22110,23,3,0,0.3,0.4,90,0,1,81300,3,1,1,3,1,1.73684210526316
"Slippery Rock University","Butler County","Pennsylvania","Health, Environment and Science","Data Analytics",0,0,0,1,0,2015,10,10,10,24,33,41445,60613,41445,24,3,12,0.46,0.85,90,25,1,83404,3,3,1,3,0,3.3
"South Dakota State University","Brookings","South Dakota","Math & Statistics","Data Science",0,0,1,0,1,2014,12,12,12,24,30,20010,12786,22108.5,20,3,24,0.22,0.19,80,0,1,81753,2,1,6,1,0,2.5
"Southern Methodist University","Dallas","Texas","Humanities & Sciences","Applied Statistics and Data Analytics",0,0,1,1,0,2013,12,12,12,24,36,21060,16032,50050,23,3,0,0.48,0.19,80,75,1,77601,2,6,6,1,0,2.5
"University of California Irvine","Irvine","California","Business","Business Analytics",1,0,0,1,0,2014,11,11,11,11,52,55000,55000,55000,25,3.46,35,0.47,0.387,103,150,0.9,80000,10,4,6,1,0,4.72727272727273
"University of Denver","Denver","Colorado","Business","Business Analytics",1,0,0,1,0,2014,12,12,12,12,58,61944,61944,61944,28,3.33,48,0.57,0.33,94,100,1,68000,9,4,4,3,0,4.83333333333333
"Brandeis University","Waltham","Massachusetts","Professional Studies","Strategic Analytics",0,0,0,1,0,2014,18,18,18,24,30,35350,35350,35350,23,2.8,0,0.4,0.19,90,75,1,73856,6,1,6,2,1,1.66666666666667
"University of Massachusetts Amherst","Amherst","Massachusetts","Business","Business and Analytics",1,0,0,1,0,2015,12,12,12,48,31,25262,47995,36629,23,3,12,0.35,0.85,90,60,0.87,62879,5,1,5,4,0,2.58333333333333
"Creighton University","Omaha","Nebraska","Business","Business Intelligence and Analytics",1,0,0,1,0,2014,24,24,24,24,33,38346,38346,38346,24,3.2,0,0.35,0.85,90,50,1,84500,5,4,6,3,0,1.375
"City University of New York","New York City","New York","Professional Studies","Data Analytics",0,0,0,1,0,2013,12,12,12,24,30,20010,12786,11651.04,23,2.8,0,0.35,0.4,80,75,1,110000,7,2,6,2,0,2.5
"Columbia University","New York City","New York","Professional Studies","Applied Analytics",0,0,0,1,0,2016,24,30,30,36,36,48432,48432,48432,20,3.33,0,0.3,0.85,90,75,0.9,50000,12,6,5,4,0,1.5
"Case Western Reserve University","Cleveland","Ohio","Business","Business Analytics",1,0,0,1,0,2016,11,11,18,16,33,50096,50096,50096,23,3.5,18,0.56,0.67,105,75,1,80000,6,5,6,1,0,3
"Dakota State University","Madison","South Dakota","Graduate Office","Analytics",0,0,0,1,0,2014,18,18,24,60,39,14430,24024,19227,23,3,24,0.57,0.24,79,50,1,60000,9,1,3,3,0,2.16666666666667
"College of William & Mary","Williamsburg","Virginia","Business","Business Analytics",1,0,0,1,0,2015,12,12,12,12,33,40106,46878,43492,24,3.49,24,0.375,0.19,103,100,1,120000,9,0,7,2,0,2.75
"California Polytechnic State University – San Luis Obispo","San Luis","California","Business","Business Analytics",1,0,0,1,0,2016,10,10,10,10,45,31275,31275,31275,24,3,24,0.45,0.85,80,45,0.88,79842,10,5,6,1,0,4.5
"Northwestern University","Chicago","Illinois","Engineering","Analytics",0,1,0,1,0,2012,15,15,15,15,36,93720,93720,93720,23,3.45,24,0.48,0.4,95,125,1,80000,7,5,7,1,1,2.4
"University of Maryland, College Park","College Park","Maryland","Business","Business Analytics",1,0,0,1,0,2015,16,16,16,16,30,47460,60450,53955,23,3.4,12,0.52,0.72,106,75,0.87,86000,10,6,6,2,2,1.875
"Temple University","Philadelphia","Pennsylvania","Business","Business Analytics",1,0,0,1,0,2014,24,12,24,60,30,33420,33420,33420,24,3.2,12,0.3,0.24,90,60,0.86,88000,3,6,3,2,0,1.25
"University of Texas at San Antonio","San Antonio","Texas","College of Business","Data Analytics",1,0,0,1,0,2016,12,12,12,21,30,17000,46500,31750,23,3.6,0,0.42,0.42,80,50,1,79842,3,5,4,2,0,2.5
"University of Utah","Salt Lake City","Utah","Business","Business Analytics",1,0,0,1,0,2016,12,12,16,24,33,34550,59200,46875,23,3.3,0,0.57,0.67,80,55,1,71055,4,6,5,2,1,2.75
"Western Governors University","Salt Lake City","Utah","College of Information Technology","Data Analytics",0,0,0,1,0,2016,18,18,18,36,33,9320,11651.04,20010,23,3.52,0,0.375,0.24,90,65,1,120000,5,2,1,4,0,1.83333333333333
"University of San Francisco","San Francisco","California","Arts and Science","Data Science",0,0,1,0,1,2012,12,12,12,12,35,50050,50050,50050,24,3.63,24,0.45,0.6,80,75,0.95,120000,10,2,6,1,2,2.91666666666667
"University of California, Davis","Davis","California","School of Management","Business Analytics",1,0,0,1,0,2015,10,10,10,10,44,58916,58916,58916,24,3.5,24,0.66,0.85,99,125,0.95,68000,5,6,6,1,0,4.4
"Fairfield University","Fairfield","Connecticut","Business","Business Analytics",1,0,0,1,0,2015,12,12,12,24,30,37800,37800,37800,27,3.8,24,0.35,0.72,90,60,0.95,85200,5,5,6,3,0,2.5
"Michigan State University","East Lansing","Michigan","Business","Business Analytics",1,0,0,1,0,2013,12,12,12,12,30,36000,39000,37500,26,3.45,24,0.375,0.19,90,75,1,85200,8,6,6,1,0,2.5
"Washington University in St. Louis","St. Louis","Missouri","Business","Business Analytics",1,0,0,1,0,2013,18,18,18,18,39,87685,87685,87685,23,3.5,3,0.58,0.98,95,150,0.97,80000,9,5,4,2,0,2.16666666666667
"College of Saint Elizabeth","Morristown","New Jersey","School of Arts and Sciences","Data Analytics",0,0,1,1,0,1899,12,12,12,12,36,31620,31620,31620,24,2.6,0,0.89,0.85,79,35,1,68153,7,6,6,2,0,3
"College of Saint Rose","Albany","New York","School of Business","Business Analytics",1,0,0,1,0,1920,24,24,24,24,33,32835,32835,32835,24,3.3,0,0.7,0.73,80,0,1,87000,7,6,4,1,0,1.375
"Duke University","Durham","North Carolina","School of Business","Quantitative Management",1,0,0,1,0,1920,10,10,10,10,36,69800,69800,69800,23,4.03,6,0.56,0.22,103,125,0.9,80000,10,6,6,2,0,3.6
"Villanova University","Radnor Township","Pennsylvania","Business","Analytics",1,0,0,1,0,2014,24,24,24,24,36,49500,49500,37000,23,3,0,0.3,0.73,80,65,0.981,62879,5,6,7,1,2,1.5
"University of Texas at Austin","Austin","Texas","Business","Business Analytics",1,0,0,1,0,2013,10,10,10,10,36,43000,48000,45500,24,3.66,12,0.43,0.52,79,75,0.98,86175,4,6,7,1,2,3.6
"Arizona State University","Phoenix","Arizona","Business","Business Analytics",1,0,0,1,0,2013,9,9,9,9,30,33608,53288,43448,26,3.42,32,0.46,0.85,99,70,0.769,77601,2,3,4,2,1,3.33333333333333
"University of California, San Diego","San Diego","California","Business","Business Analytics",1,0,0,1,0,2016,12,12,12,12,50,58000,58000,58000,24,3.4,24,0.54,0.22,89,75,1,86175,13,6,6,2,2,4.16666666666667
"Golden Gate University","San Fransico","California","School Of Science","Business Analytics",0,0,1,1,0,2016,24,20,18,24,36,39240,39240,39240,24,2.8,0,0.3,0.24,80,0,0.92,79842,7,4,3,4,0,1.5
"University of Chicago","Chicago","Illinois","Liberal and Professional studies","Analytics",0,0,0,1,0,2014,18,18,18,18,36,55680,55680,55680,23,3,0,0.4,0.22,100,75,1,62879,7,3,8,2,2,2
"Saint Marys College","Notre Dame","Indiana","Liberal and Professional studies","Data Science",0,0,0,1,0,2015,24,24,24,24,36,24300,24300,24300,23,3,0,0.3,0.19,101,0,0.9,50000,10,1,4,3,0,1.5
"Bentley University","Waltham","Massachusetts","Business","Business Analytics",1,0,0,1,0,2014,24,24,24,24,30,67250,67250,67250,23,3,10,0.57,0.4,105,90,0.95,83404,6,4,4,3,1,1.25
"Suffolk University Boston","Boston","Massachusetts","Business","Business Analytics",1,0,0,1,0,2015,9,9,12,21,31,47220,47220,47220,25,3,0,0.59,0.25,90,50,1,77601,9,4,4,3,0,3.44444444444444
"University of Rochester","Rochester","New York","Business","Business Analytics",1,0,0,1,0,2014,10,10,14,17,33,65000,65000,65000,23,3.3,12,0.62,0.74,106,100,0.84,68000,12,6,5,1,1,3.3
"Syracuse University","Syracuse","New York","School of Information Studies","Applied Data Science",0,0,1,0,1,2015,24,24,24,24,36,35343,35343,35343,23,3,0,0.56,0.98,90,75,1,81753,4,1,5,3,0,1.5
"Wake Forest University","Winston-Salem","North Carolina","School of Business","Business Analytics",1,0,0,1,0,2016,10,10,10,10,37,50082,50082,50082,23,3.43,18,0.5,0.7,80,100,1,71055,9,6,6,2,1,3.7
"University of Southern California, Marshall","Los Angeles","California","Business","Business Analytics",1,0,0,1,0,2014,18,12,18,18,33,60951,70000,70000,23,3.67,18,0.54,0.74,106,75,0.95,60000,6,2,5,2,2,1.83333333333333
"University of Colorado Boulder","Boulder","Colorado","Business","Business Analytics",1,0,0,1,0,2014,10,10,10,10,33,13556,33014,23285,26,3,12,0.56,0.84,80,70,1,50000,5,3,6,3,0,3.3
"University of New Haven","West Haven","Connecticut","Engineering","Data Science",0,1,0,0,1,2015,12,12,12,24,30,28950,28950,28950,23,3,0,0.42,0.85,90,65,1,80000,3,3,7,1,1,2.5
"Bay Path University","Longmeadow","Massachusetts","Business","Applied Data Science",1,0,0,0,1,2012,12,12,12,24,36,31680,31680,31680,24,3,0,0.42,0.33,80,50,1,68153,11,3,3,3,0,3
"Clark University","Worcester","Massachusetts","School of Management","Business Analytics",1,0,0,1,0,2014,36,12,24,36,36,57475,57475,57475,23,3.55,12,0.56,0.74,100,75,1,68000,6,3,4,1,0,1.25
"University of Minnesota","Twin Cities","Minnesota","School of Management","Business Analytics",1,0,0,1,0,2014,12,12,12,24,45,45900,45900,60300,24,3.54,24,0.43,0.7,98,75,1,82433,9,3,7,1,2,3.75
"Carnegie Mellon University","Pittsburgh","Pennsylvania","Business","Master of Information Systems Management (concentration in Business intelligence and Data Analytics)",1,0,0,0,0,2011,16,12,16,16,30,115207,115207,115207,23,3.55,10,0.57,0.22,90,150,0.84,80000,10,6,5,3,0,1.875
"Brown University","Providence","Rhode Island","Graduate School","Data Science",0,0,0,0,1,2015,12,9,12,24,9,69204,69204,69204,23,3.63,12,0.48,0.84,101,80,0.97,60000,6,3,5,1,2,0.75
"University of Tennessee","Knoxville","Tennessee","Business","Business Analytics",1,0,0,1,0,2010,18,18,18,24,38,26391,54018,22293,35,3.56,31,0.25,0.19,90,60,1,85200,9,5,6,1,0,2.11111111111111
"University of Virginia","Charlottesville","Virginia","Data Science Institute","Data Science",0,0,0,0,1,2014,11,11,11,11,35,35264,49976,35500,23,3,0,0.46,0.33,90,85,1,120000,10,5,6,1,2,3.18181818181818
"Western Illinois University","Macomb","Illinois","College of Business & Technology","Applied Statistics and Decision Analytics",1,0,0,1,0,2016,12,12,12,18,36,11651.04,11651.04,11651.04,23,2.75,0,0.42,0.85,90,0,1,50000,9,5,2,1,1,3
"Valparaiso University","Valparasio","Indiana","Graduate School","Analytics and Modeling",0,0,0,1,0,2015,12,12,12,12,36,22680,22680,22680,24,3,0,0.62,0.25,80,75,1,62879,8,5,6,1,0,3
"Wayne State University","Detriot","Michigan","Engineering","Data Science and Business Analytics",0,1,0,1,1,2017,12,12,24,24,30,5740,16032,7276.78,24,3,0,0.35,0.84,94,55,1,80265,6,1,6,2,0,2.5
